salinity_ppt
37.54
37.01
36.71
37.03
37.32
37.01
37.03
37.7
37.36
36.75
37.45
38.85
40.17
40.8
39.76
39.7
40.79
40.44
39.79
39.38
39.04
39.21
39.05
38.24
38.53
38.71
38.89
38.66
38.51
40.58
